"DateTime";"Middeltemperatur";"Maksimumtemperatur";"Minimumtemperatur"
"2022-11-14 00:00:00";10.9;11.1;10.8
"2022-11-14 01:00:00";10.9;11;10.7
"2022-11-14 02:00:00";11.3;11.5;11
"2022-11-14 03:00:00";11;11.3;10.8
"2022-11-14 04:00:00";10.8;11;10.6
"2022-11-14 05:00:00";10.3;10.6;10.1
"2022-11-14 06:00:00";10.1;10.3;9.9
"2022-11-14 07:00:00";10;10.1;9.7
"2022-11-14 08:00:00";9.8;10;9.6
"2022-11-14 09:00:00";9.7;10;9.5
"2022-11-14 10:00:00";9.7;10.1;9.3
"2022-11-14 11:00:00";10;10.2;9.8
"2022-11-14 12:00:00";10;10.6;9.8
"2022-11-14 13:00:00";9.9;10.3;9.7
"2022-11-14 14:00:00";10;10.4;9.9
"2022-11-14 15:00:00";9.8;10.2;9.6
"2022-11-14 16:00:00";9.6;9.9;9.3
"2022-11-14 17:00:00";9.3;9.5;9.1
"2022-11-14 18:00:00";9.2;9.4;9.1
"2022-11-14 19:00:00";9.2;9.4;9.1
"2022-11-14 20:00:00";9.4;9.6;9.3
"2022-11-14 21:00:00";9.4;9.6;9.4
"2022-11-14 22:00:00";9.3;9.6;9.2
"2022-11-14 23:00:00";9.4;9.7;9.3
"2022-11-15 00:00:00";9.5;9.7;9.4
"2022-11-15 01:00:00";9.5;9.8;9.4
"2022-11-15 02:00:00";9.4;9.6;9.3
"2022-11-15 03:00:00";9.4;9.5;9.3
"2022-11-15 04:00:00";9.2;9.3;8.9
"2022-11-15 05:00:00";9.2;9.5;9.1
"2022-11-15 06:00:00";9.4;9.6;9.2
"2022-11-15 07:00:00";9.6;9.9;9.4
"2022-11-15 08:00:00";9.5;9.8;9.2
"2022-11-15 09:00:00";9.3;9.5;9.2
"2022-11-15 10:00:00";9.3;9.5;9.2
"2022-11-15 11:00:00";9.4;9.7;9.3
"2022-11-15 12:00:00";9.7;10.1;9.5
"2022-11-15 13:00:00";9.8;10;9.7
"2022-11-15 14:00:00";9.9;10.2;9.8
"2022-11-15 15:00:00";9.9;10.3;9.8
"2022-11-15 16:00:00";9.9;10.2;9.8
"2022-11-15 17:00:00";9.9;10.2;9.7
"2022-11-15 18:00:00";9.9;10.2;9.7
"2022-11-15 19:00:00";9.9;10.1;9.7
"2022-11-15 20:00:00";9.8;9.9;9.7
"2022-11-15 21:00:00";9.7;10;9.2
"2022-11-15 22:00:00";9.6;9.7;9.4
"2022-11-15 23:00:00";9.3;9.7;8.7
"2022-11-16 00:00:00";8.8;9.1;8.7
"2022-11-16 01:00:00";9.1;9.2;8.9
"2022-11-16 02:00:00";9.1;9.3;9
"2022-11-16 03:00:00";9.2;9.4;9.1
"2022-11-16 04:00:00";9.2;9.4;9
"2022-11-16 05:00:00";8.9;9.1;8.7
"2022-11-16 06:00:00";8.9;9.2;8.7
"2022-11-16 07:00:00";9;9.3;8.7
"2022-11-16 08:00:00";9;9.2;8.8
"2022-11-16 09:00:00";9;9.1;8.9
"2022-11-16 10:00:00";8.9;9.1;8.8
"2022-11-16 11:00:00";8.9;9;8.8
"2022-11-16 12:00:00";8.9;9.2;8.8
"2022-11-16 13:00:00";8.8;9;8.7
"2022-11-16 14:00:00";8.5;8.9;8.3
"2022-11-16 15:00:00";8.2;8.4;7.9
"2022-11-16 16:00:00";7.8;8.1;7.4
"2022-11-16 17:00:00";7.5;7.7;7.2
"2022-11-16 18:00:00";7.3;7.5;7
"2022-11-16 19:00:00";7.2;7.4;6.9
"2022-11-16 20:00:00";7.1;7.4;6.8
"2022-11-16 21:00:00";7;7.2;6.7
"2022-11-16 22:00:00";6.8;7.2;6.4
"2022-11-16 23:00:00";6.6;7;6.3
"2022-11-17 00:00:00";6;6.6;5.7
"2022-11-17 01:00:00";6;6.4;5.7
"2022-11-17 02:00:00";6;6.4;5.7
"2022-11-17 03:00:00";6.2;6.5;5.8
"2022-11-17 04:00:00";6;6.3;5.6
"2022-11-17 05:00:00";5.6;6;5.1
"2022-11-17 06:00:00";5.5;5.9;5.3
"2022-11-17 07:00:00";5.8;6.2;5.1
"2022-11-17 08:00:00";5.6;6;5.1
"2022-11-17 09:00:00";6.1;6.3;5.9
"2022-11-17 10:00:00";6.2;6.5;6
"2022-11-17 11:00:00";6.4;6.7;6.2
"2022-11-17 12:00:00";6.4;6.6;6.2
"2022-11-17 13:00:00";6.3;6.6;6
"2022-11-17 14:00:00";5.8;6.1;5.6
"2022-11-17 15:00:00";5.5;5.7;5.2
"2022-11-17 16:00:00";5.5;5.8;5.3
"2022-11-17 17:00:00";5.8;5.9;5.5
"2022-11-17 18:00:00";5.7;6;5.4
"2022-11-17 19:00:00";5.7;5.9;5.3
"2022-11-17 20:00:00";5.8;6.1;5.5
"2022-11-17 21:00:00";5.9;6.1;5.7
"2022-11-17 22:00:00";5.9;6.4;5.8
"2022-11-17 23:00:00";6.1;6.5;5.9
"2022-11-18 00:00:00";5.7;6.3;5
"2022-11-18 01:00:00";5.2;5.5;4.8
"2022-11-18 02:00:00";5.1;5.4;4.7
"2022-11-18 03:00:00";4.3;4.8;3.9
"2022-11-18 04:00:00";4.5;4.8;4.1
"2022-11-18 05:00:00";4.9;5.2;4.3
"2022-11-18 06:00:00";4.6;5.3;4
"2022-11-18 07:00:00";4.4;4.8;3.7
"2022-11-18 08:00:00";4.1;4.9;3.7
"2022-11-18 09:00:00";4.7;5.2;4.3
"2022-11-18 10:00:00";4.8;5.1;4.2
"2022-11-18 11:00:00";4.6;5.2;3.9
"2022-11-18 12:00:00";4.9;5.5;4
"2022-11-18 13:00:00";5.2;5.7;4.9
"2022-11-18 14:00:00";4.9;5.3;4.5
"2022-11-18 15:00:00";3.7;4.8;3.1
"2022-11-18 16:00:00";3.2;3.5;2.9
"2022-11-18 17:00:00";3;3.3;2.6
"2022-11-18 18:00:00";2.7;3.1;2
"2022-11-18 19:00:00";2.4;2.7;2.1
"2022-11-18 20:00:00";2;2.4;1.5
"2022-11-18 21:00:00";2;2.5;1.7
"2022-11-18 22:00:00";2.3;2.8;1.9
"2022-11-18 23:00:00";2;2.6;1.5
"2022-11-19 00:00:00";2;2.3;1.6
"2022-11-19 01:00:00";2.4;2.7;2.2
"2022-11-19 02:00:00";2.4;2.7;1.9
"2022-11-19 03:00:00";2.1;2.4;1.9
"2022-11-19 04:00:00";2.1;2.2;1.8
"2022-11-19 05:00:00";1.8;2;1.6
"2022-11-19 06:00:00";2;2.2;1.6
"2022-11-19 07:00:00";2;2.2;1.9
"2022-11-19 08:00:00";2.1;2.6;1.8
"2022-11-19 09:00:00";2.1;2.6;1.9
"2022-11-19 10:00:00";2.2;2.6;1.9
"2022-11-19 11:00:00";2.3;2.9;1.9
"2022-11-19 12:00:00";2;2.4;1.8
"2022-11-19 13:00:00";2.5;3.2;2
"2022-11-19 14:00:00";2.5;3;2.3
"2022-11-19 15:00:00";2.3;2.7;2.1
"2022-11-19 16:00:00";2.2;2.6;2.1
"2022-11-19 17:00:00";2;2.2;1.8
"2022-11-19 18:00:00";1.6;1.9;1.4
"2022-11-19 19:00:00";1.5;1.7;1.4
"2022-11-19 20:00:00";1.4;1.6;1.3
"2022-11-19 21:00:00";1.3;1.5;1.1
"2022-11-19 22:00:00";1.2;1.4;1
"2022-11-19 23:00:00";0.9;1.3;0.3
"2022-11-20 00:00:00";0.8;1;0.5
"2022-11-20 01:00:00";0.9;1.1;0.7
"2022-11-20 02:00:00";0.5;0.9;-0.1
"2022-11-20 03:00:00";-0.2;0;-0.5
"2022-11-20 04:00:00";-0.2;0;-0.4
"2022-11-20 05:00:00";-0.5;-0.2;-0.8
"2022-11-20 06:00:00";-0.8;-0.6;-1.2
"2022-11-20 07:00:00";-1.2;-0.9;-1.6
"2022-11-20 08:00:00";-1;-0.7;-1.4
"2022-11-20 09:00:00";-0.5;-0.3;-0.8
"2022-11-20 10:00:00";-0.4;0;-0.8
"2022-11-20 11:00:00";0.1;0.8;-0.5
"2022-11-20 12:00:00";0.7;1;0.4
"2022-11-20 13:00:00";0.9;1.1;0.6
"2022-11-20 14:00:00";0.9;1;0.6
"2022-11-20 15:00:00";0.6;1.1;-0.1
"2022-11-20 16:00:00";0.4;1.1;-0.5
"2022-11-20 17:00:00";0.2;1.1;-0.6
"2022-11-20 18:00:00";-0.8;-0.1;-1.3
"2022-11-20 19:00:00";-1;-0.5;-1.5
"2022-11-20 20:00:00";-1.7;-1.1;-2.5
"2022-11-20 21:00:00";-2.7;-1.3;-4.1
"2022-11-20 22:00:00";-3.1;-2.7;-3.8
"2022-11-20 23:00:00";-1.5;-1;-2.7
"2022-11-21 00:00:00";-0.9;-0.7;-1.1